Date,Open,High,Low,Close,Adj Close,Volume,1_day_MA,3_day_MA,5_day_MA,7_day_MA,14_day_MA,1_month_MA,3_month_MA,6_month_MA,1_year_MA,Daily_Return,Volatility_1_day,Volatility_3_day,Volatility_5_day,Volatility_7_day,Volatility_14_day,Volatility_1_month,Volatility_3_month,Volatility_6_month,Volatility_1_year,High_Low_Diff,Lag_1,Lag_3,Lag_5,Rolling_Std_1_day,Rolling_Std_3_day,Rolling_Std_5_day,Rolling_Std_7_day,Rolling_Std_14_day,Rolling_Std_1_month,Rolling_Std_3_month,Rolling_Std_6_month,Rolling_Std_1_year,Day_of_Week,Month,Quarter
2022-01-03,666.3200073242188,671.7000122070312,661.219970703125,663.3200073242188,623.7053833007812,2259100,663.3200073242188,,,,,,,,,,,,,,,,,,,10.48004150390625,,,,,,,,,,,,,0,1,1
2022-01-04,662.8800048828125,672.1900024414062,657.22998046875,670.9199829101562,630.8515014648438,2110300,670.9199829101562,,,,,,,,,1.1457479801634918,,,,,,,,,,14.96002197265625,663.3200073242188,,,,,,,,,,,,1,1,1
2022-01-05,671.2100219726562,671.2100219726562,642.010009765625,643.0,604.5989379882812,3496100,643.0,659.0799967447916,,,,,,,,-4.161447508099492,,,,,,,,,,29.20001220703125,670.9199829101562,,,,14.434840792717251,,,,,,,,2,1,1
2022-01-06,640.1599731445312,648.6500244140625,634.4299926757812,637.030029296875,598.9854736328125,2858100,637.030029296875,650.3166707356771,,,,,,,,-0.9284557858670328,,2.6745990568581113,,,,,,,,14.22003173828125,643.0,663.3200073242188,,,18.090950554581802,,,,,,,,3,1,1
2022-01-07,635.8499755859375,639.9099731445312,618.4600219726562,619.1500244140625,582.17333984375,2783200,619.1500244140625,633.0600179036459,646.6840087890625,,,,,,,-2.8067758285347466,,1.623548429527415,,,,,,,,21.449951171875,637.030029296875,670.9199829101562,,,12.410724262073972,20.79080581180211,,,,,,,4,1,1
2022-01-10,608.8599853515625,622.0399780273438,603.5700073242188,621.1599731445312,584.063232421875,2979300,621.1599731445312,625.7800089518229,638.252001953125,,,,,,,0.32463032402703096,,1.576071882550541,2.1918212119414924,,,,,,,18.469970703125,619.1500244140625,643.0,663.3200073242188,,9.794498037053433,20.90607972057026,,,,,,,0,1,1
2022-01-11,615.5399780273438,628.0,614.5700073242188,622.0499877929688,584.900146484375,1903700,622.0499877929688,620.7866617838541,628.4780029296875,639.518572126116,,,,,,0.14328267868450872,,1.7579076889297374,1.9459103024938034,,,,,,,13.42999267578125,621.1599731445312,637.030029296875,670.9199829101562,,1.4855867287903275,10.792470472712905,20.928200405356865,,,,,,1,1,1
2022-01-12,627.510009765625,630.989990234375,619.739990234375,622.0,584.8530883789062,1880600,622.0,621.7366536458334,624.2780029296875,633.6157139369419,,,,,,-0.008035976842646342,,0.16655888434031935,1.296187728691808,1.9079865042565811,,,,,,11.25,622.0499877929688,619.1500244140625,643.0,,0.5000449932743081,7.224711043778749,18.816762657617428,,,,,,2,1,1
2022-01-13,627.469970703125,627.8800048828125,594.1500244140625,597.1900024414062,561.5248413085938,3004800,597.1900024414062,613.7466634114584,616.3099975585938,623.0828595842634,,,,,,-3.9887455881983502,,2.343167512285069,1.9928612156729344,1.9767278008842297,,,,,,33.72998046875,622.0,621.1599731445312,637.030029296875,,14.338510785740517,10.752742030282102,14.62338407087285,,,,,,3,1,1
2022-01-14,595.780029296875,600.3800048828125,592.0,596.3699951171875,560.7537841796875,2566100,596.3699951171875,605.1866658528646,611.7539916992188,616.4214303152902,,,,,,-0.13731095980616947,,2.2618690548577414,1.8280283476714803,1.6817205843060887,,,,,,8.3800048828125,597.1900024414062,622.0499877929688,619.1500244140625,,14.566545810876619,13.676968254600398,14.659026436880808,,,,,,4,1,1
