Date,Open,High,Low,Close,Adj Close,Volume,1_day_MA,3_day_MA,5_day_MA,7_day_MA,14_day_MA,1_month_MA,3_month_MA,6_month_MA,1_year_MA,Daily_Return,Volatility_1_day,Volatility_3_day,Volatility_5_day,Volatility_7_day,Volatility_14_day,Volatility_1_month,Volatility_3_month,Volatility_6_month,Volatility_1_year,High_Low_Diff,Lag_1,Lag_3,Lag_5,Rolling_Std_1_day,Rolling_Std_3_day,Rolling_Std_5_day,Rolling_Std_7_day,Rolling_Std_14_day,Rolling_Std_1_month,Rolling_Std_3_month,Rolling_Std_6_month,Rolling_Std_1_year,Day_of_Week,Month,Quarter
2022-01-03,186.8099975585937,187.4600067138672,185.16000366210932,186.2899932861328,186.2899932861328,352900,186.2899932861328,,,,,,,,,,,,,,,,,,,2.3000030517578693,,,,,,,,,,,,,0,1,1
2022-01-04,193.0800018310547,201.42999267578125,192.32000732421875,199.19000244140625,199.19000244140625,1057300,199.19000244140625,,,,,,,,,6.924692479568462,,,,,,,,,,9.1099853515625,186.2899932861328,,,,,,,,,,,,1,1,1
2022-01-05,199.8000030517578,201.33999633789065,196.8500061035156,196.9499969482422,196.9499969482422,555700,196.9499969482422,194.1433308919271,,,,,,,,-1.1245571894718864,,,,,,,,,,4.489990234375057,199.19000244140625,,,,6.892792599178373,,,,,,,,2,1,1
2022-01-06,200.6300048828125,200.8000030517578,196.17999267578125,199.75,199.75,422800,199.75,198.62999979654947,,,,,,,,1.4216822011394292,,4.114139792499002,,,,,,,,4.6200103759765625,196.9499969482422,186.2899932861328,,,1.4816229257635458,,,,,,,,3,1,1
2022-01-07,200.67999267578125,201.9900054931641,198.72000122070312,200.44000244140625,200.44000244140625,371000,200.44000244140625,199.04666646321616,196.5239990234375,,,,,,,0.3454330119680771,,1.2781835121128067,,,,,,,,3.270004272460966,199.75,199.19000244140625,,,1.8482540771096414,5.868689950876371,,,,,,,4,1,1
2022-01-10,200.97999572753903,201.13999938964844,197.6699981689453,200.3500061035156,200.3500061035156,380000,200.3500061035156,200.18000284830728,199.33600158691405,,,,,,,-0.04489938973980534,,0.7595539550421346,3.1639122046973136,,,,,,,3.470001220703125,200.44000244140625,196.9499969482422,186.2899932861328,,0.37510221589936626,1.4258989812306047,,,,,,,0,1,1
2022-01-11,201.3000030517578,201.97000122070312,199.5500030517578,201.8999938964844,201.8999938964844,255500,201.8999938964844,200.89666748046875,199.87799987792968,197.83857073102678,,,,,,0.7736400028697688,,0.4094157113362422,0.9525722988554739,,,,,,,2.4199981689453125,200.3500061035156,199.75,199.19000244140625,,0.8700705477226746,1.8177377213466093,5.310509181317488,,,,,,1,1,1
2022-01-12,205.0,207.66000366210932,204.6499938964844,206.6100006103516,206.6100006103516,511400,206.6100006103516,202.95333353678384,201.81000061035155,200.7414289202009,,,,,,2.3328414344985227,,1.2079436568604487,0.9380731271306356,2.6223499084158486,,,,,,3.0100097656249147,201.8999938964844,200.44000244140625,196.9499969482422,,3.2602187203888207,2.7973282006721365,2.9941968330743913,,,,,,2,1,1
2022-01-13,211.0,213.7400054931641,210.3699951171875,211.3699951171875,211.3699951171875,547000,211.3699951171875,206.6266632080078,204.13399963378907,202.48142787388392,,,,,,2.30385484379958,,0.8919554161349974,1.1120867843951538,1.2648446798890816,,,,,,3.370010375976591,206.6100006103516,200.3500061035156,199.75,,4.735022598853118,4.781349584596755,4.884629102672505,,,,,,3,1,1
2022-01-14,210.6499938964844,211.2400054931641,209.16000366210932,210.69000244140625,210.69000244140625,267700,210.69000244140625,209.5566660563151,206.18399963378906,204.4442858014788,,,,,,-0.3217072865068893,,1.5243056143006697,1.261555094093319,1.0776231495528206,,,,,,2.0800018310547728,211.3699951171875,201.8999938964844,200.44000244140625,,2.57443691855233,4.994203463933127,5.049288703405428,,,,,,4,1,1
2022-01-18,209.1000061035156,209.4900054931641,207.19000244140625,207.47000122070312,207.47000122070312,379600,207.47000122070312,209.84333292643228,207.60799865722657,205.5471431187221,,,,,,-1.5283122992979292,,1.959378182384573,1.6772356887132034,1.4011624322534566,,,,,,2.300003051757841,210.69000244140625,206.6100006103516,200.3500061035156,,2.0832966780665467,3.783111366096848,4.682885030242451,,,,,,1,1,1
2022-01-19,206.6100006103516,206.6999969482422,202.1000061035156,202.4199981689453,202.4199981689453,562200,202.4199981689453,206.86000061035156,207.71199951171874,205.82999965122767,,,,,,-2.434088312548721,,1.0597546447373658,2.1845510157890997,1.8049659355823882,,,,,,4.599990844726591,207.47000122070312,211.3699951171875,201.8999938964844,,4.1686110666626215,3.589139042383297,4.372500584180746,,,,,,2,1,1
2022-01-20,203.57000732421875,204.8099975585937,201.22999572753903,201.47000122070312,201.47000122070312,283000,201.47000122070312,203.7866668701172,206.68399963378906,205.98999895368303,,,,,,-0.469319709927718,,0.9833794751067049,1.7812879302200535,1.8198465649149886,,,,,,3.580001831054659,202.4199981689453,210.69000244140625,206.6100006103516,,3.225032946199417,4.582354705922236,4.153565270657505,,,,,,3,1,1
2022-01-21,199.17999267578125,200.9499969482422,198.5599975585937,199.7700042724609,199.7700042724609,363700,199.7700042724609,201.22000122070312,204.36400146484374,205.6857147216797,201.76214272635323,,,,,-0.843796564223942,,1.0431983209533062,0.8704151193727464,1.8218291143285446,,,,,,2.3899993896484943,201.47000122070312,207.47000122070312,211.3699951171875,,1.3425691463946052,4.553150537540986,4.561152941879075,6.260717483947984,,,,,4,1,1
