Date,Open,High,Low,Close,Adj Close,Volume
2022-01-04,2055.0,2068.949951171875,2014.0,2051.22998046875,1911.4053955078125,3384262
2022-01-05,2045.0,2065.0,2018.0,2024.0,1886.0316162109375,2839551
2022-01-06,2022.010009765625,2036.0,1938.510009765625,1982.219970703125,1847.099609375,5179475
2022-01-07,1975.0,1988.8800048828125,1939.3199462890625,1942.0,1809.6212158203125,2981669
2022-01-10,1928.010009765625,1977.0,1917.550048828125,1966.0,1831.9852294921875,2962670
2022-01-11,1948.0,1965.0,1931.1700439453125,1940.550048828125,1808.2701416015625,2227664
2022-01-12,1948.0,1978.800048828125,1948.0,1967.0,1832.9171142578125,2747410
2022-01-13,1964.8199462890625,1967.989990234375,1865.56005859375,1877.3900146484375,1749.4154052734375,5674735
2022-01-14,1877.3900146484375,1893.0,1863.0,1867.0,1739.733642578125,2932164
2022-01-17,1868.0,1878.300048828125,1835.3399658203125,1861.6099853515625,1734.7110595703125,2735382
2022-01-18,1861.6800537109375,1908.8499755859375,1852.0,1892.27001953125,1763.281005859375,3121577
2022-01-19,1919.0,1919.0,1888.8800048828125,1912.0,1781.6661376953125,2637094
2022-01-20,1916.0,1979.989990234375,1916.0,1969.52001953125,1835.265380859375,3401391
2022-01-21,1960.0,1993.489990234375,1951.010009765625,1984.989990234375,1849.6807861328125,3081258
2022-01-24,1955.0,1984.0,1931.43994140625,1950.199951171875,1817.26220703125,2398580
2022-01-25,1943.0,1966.0,1931.0,1943.0,1810.552978515625,2551012
2022-01-26,1942.0400390625,1969.0,1919.0,1955.0,1821.73486328125,2390513
2022-01-27,2001.010009765625,2010.8199462890625,1952.0,1965.0,1831.053466796875,4266516
2022-01-28,1955.0,1968.0,1880.010009765625,1887.0,1758.370361328125,4102011
2022-02-07,1900.989990234375,1913.56005859375,1850.0,1867.9599609375,1740.6280517578125,3515042
2022-02-08,1868.8800048828125,1872.8699951171875,1790.0,1839.0,1713.6422119140625,4171306
2022-02-09,1839.0899658203125,1908.0,1826.969970703125,1895.97998046875,1766.73828125,3388479
2022-02-10,1900.0,1905.9000244140625,1857.3900146484375,1873.0,1745.32470703125,2303183
2022-02-11,1857.0,1900.7900390625,1841.0,1849.969970703125,1723.864501953125,3374649
2022-02-14,1840.0,1877.0,1837.31005859375,1868.6700439453125,1741.2899169921875,2019587
2022-02-15,1868.800048828125,1911.0,1859.0,1890.6199951171875,1761.743408203125,2710586
2022-02-16,1900.0,1907.0,1888.0,1892.550048828125,1763.5419921875,1458685
